date,temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qs_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,precipitation_sum,Water_availability
2015-04-01,31.38151889803608,0.0056397121299009,19.08416146847614,4.671448692177779,-0.2776261771845961,19.053919286868435,0.0,0.0095354184438285,301.8287908662625,8.547752772793185e-05,6.49202179932047e-10,2.8017827739082656e-05,2.865346773174176e-05,878.0200931580084,-90.39670353400996,5.002746374141879,57.28780169603301,70.67377666535418,0.0,301.8287908662625,1153.9664204915366,275.9464077368015,4.782809055917631,223.36235154935017,6.34989905794903e-07,1153.9665821354563,0.0,-112.67374603280956
2015-04-02,31.61231845542989,0.0067016006693594,22.66405654524965,5.663895118027561,-0.9519067353256716,19.92064739832387,0.0,0.0114900195115526,302.76524204161115,5.23735795719788e-05,2.799419622828387e-10,2.775481334907912e-05,2.8202027625241503e-05,877.1319364222085,-81.73190444853246,9.743702956331454,60.88268270337485,69.56030235057925,0.0,302.76524204161115,1151.749922899696,274.6179668767665,4.659694424489649,221.92349705269663,4.469355941057286e-07,1151.749969172284,0.0,-111.26958672555116
2015-04-03,30.85406974957885,0.0068036420545867,23.969701027018104,5.704285738839539,-0.8571622836225142,19.664422820153117,0.0,0.0127925418167776,303.0687767276919,3.654703332876221e-05,1.4579716682482212e-10,2.6355571642527392e-05,2.667676572093661e-05,876.2202405231754,-80.58719256641419,6.332964739179223,65.454716655297,65.79824426697522,0.0,303.0687767276919,1149.649158384742,273.42884141255195,4.48464050380195,218.17108960655645,3.210498670527287e-07,1149.6491237113146,0.0,-106.5254120984012
2015-04-04,30.046127185330477,0.0081653609835247,30.080858878892283,2.5755785838907865,-1.5470930348665228,24.770628376341445,0.0,0.0144735685250593,302.89308107577693,2.7473215263077087e-05,8.663470294025035e-11,2.145030133561238e-05,2.165868396679902e-05,875.3007612150858,-72.37574975083515,7.162284347099987,84.82802570156933,53.42114450485726,0.0,302.89308107577693,1147.826225404817,272.5254137612939,4.354960917457333,217.78959781367607,2.082959819487122e-07,1147.8261884363685,0.0,-90.91717061033165
2015-04-05,30.52307409619897,0.007366487562198,26.557658409058725,-0.5491783018742527,-0.4429606933423241,23.765168050278813,0.0,0.0106408436540362,302.8759253897318,0.0008833111615542028,2.446408479083561e-07,1.859574163839769e-05,1.8987923373593156e-05,874.372779908219,-56.20607606763762,6.185619684738841,66.64347340033305,46.83371412463304,1.1835695370648835e-09,302.8759253897318,1146.4138002473164,272.0409908759884,4.340641106531872,175.87091295505925,1.475417600221445e-07,1146.4146770074117,0.0,-82.61371823591219
2015-04-06,31.33148250450608,0.0064444032292813,22.599807744325823,-1.2600764122657977,-0.1967987748269757,20.43594848039512,0.0007981876609610333,0.010337766849557,303.87838714103395,0.0015505837051555,1.0625803051988381e-07,1.8802543848774744e-05,1.904361525939896e-05,873.4444634042134,-62.46599739741503,8.729387385573814,77.61591566287404,46.97107423611773,1.0826993762454255e-09,303.87838714103395,1145.0188058372432,271.57432765495486,4.193796423392567,195.78321256870177,1.3481325115915144e-07,1145.0203312199287,0.0,-82.78662853097438
2015-04-07,31.251757444469565,0.0058912096358981,20.28949476144501,-1.749863399487712,-2.115205948793239,20.28248043863108,0.0,0.0124802944975397,304.3506990448246,0.0013087665541731,1.2479293665643492e-07,1.8416631028563507e-05,1.867008636490641e-05,872.5226765454298,-72.20146619982836,8.369860739727331,77.42360948934787,46.04976887819244,5.997042755285937e-10,304.3506990448246,1143.6516038848133,271.12884980488604,4.025454845612612,204.04450580938075,1.2866311909383412e-07,1143.6528390403685,0.7,-56.42330194958345
2015-04-08,31.26794548577408,0.0051686683566353,17.478190951069518,-1.8060956157474264,-2.268756296637097,20.16151375305362,3.705115093335984e-05,0.0115177954511141,303.66016701178825,0.0015890862543336,4.098902489475007e-07,2.034683972289816e-05,2.086741902323736e-05,871.6033056615814,-70.96750171010086,2.764938383083033,82.24255753726494,51.46948796946828,1.4839676732693828e-08,303.66016701178825,1142.817702688822,271.2143910725911,4.289548630636881,207.4401933313385,1.1068970387224762e-07,1142.8192836482351,0.0,-88.5021774603868
2015-04-09,32.65323898630735,0.005448743301533,17.231743610143504,-0.4451113586335871,-1.2697357459822818,21.296699719538854,0.0201918194508987,0.0095135606882139,304.4390796258198,0.00029071221841859814,1.3081923427092848e-08,2.0380518479924363e-05,2.0504992799180945e-05,870.693429404158,-78.37285068946156,9.235273273979749,74.22978985406519,50.57556700512647,0.0,304.4390796258198,1141.5665502160546,270.8731576252759,4.050050173590823,212.41688219706217,1.113920387366333e-07,1141.5668685416863,0.3,-76.52872960257235
2015-04-20,35.743144743229294,0.0050767933676772,13.432304599471289,3.535092445757986,-2.387829371640297,19.13391802568988,0.0,0.0085595589560812,307.5991655365238,2.515620278016257e-05,9.818105577214955e-11,2.8571830599998717e-05,2.8722004653382918e-05,862.8255175458708,-78.43013484303543,11.6831579208374,58.08763730816724,70.84282388919736,0.0,307.5991655365238,1135.1926718611055,272.3671767692255,4.233522490999564,219.04068523500015,1.500749172630244e-07,1135.192673721934,0.0,-112.88692327388219
