,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
77,2015-03-18 23:00:00,18.277832,0.0,25.071096,4.5204024
78,2015-03-19 23:00:00,18.948668,0.5,24.985659,5.2843246
79,2015-03-20 23:00:00,13.800748,6.8,19.878391,2.8970478
80,2015-03-21 23:00:00,13.740334,6.5999994,18.0,2.7428458
81,2015-03-22 23:00:00,15.171584,1.3000001,15.782622,3.4646637
82,2015-03-23 23:00:00,12.6153345,11.6,26.478973,1.6297859
83,2015-03-24 23:00:00,11.429916,14.299999,34.07091,1.9462222
84,2015-03-25 23:00:00,10.596583,13.600002,28.528723,1.9629172
85,2015-03-26 23:00:00,13.309082,0.0,19.493261,3.4540071
86,2015-03-27 23:00:00,14.667416,0.0,16.039202,2.7953606
87,2015-03-28 23:00:00,15.223667,0.0,13.746156,3.6679847
88,2015-03-29 23:00:00,16.346584,0.0,15.827721,3.90233
89,2015-03-30 23:00:00,17.067417,0.0,9.726664,3.9691179
90,2015-03-31 23:00:00,15.700748,0.0,15.716793,3.6687841
91,2015-04-01 23:00:00,14.067416,0.0,19.878391,3.5303774
92,2015-04-02 23:00:00,13.904918,0.0,16.323528,3.687282
93,2015-04-03 23:00:00,14.1382475,0.0,19.228851,3.4283655
94,2015-04-04 23:00:00,13.650749,0.0,18.448023,3.847209
95,2015-04-05 23:00:00,13.067417,0.4,29.957968,3.0686822
96,2015-04-06 23:00:00,13.159084,0.3,31.688177,3.4297028
97,2015-04-07 23:00:00,13.519501,0.0,28.66468,4.5253344
98,2015-04-08 23:00:00,15.744503,0.0,21.485697,4.855617
99,2015-04-09 23:00:00,18.086168,0.0,14.561099,5.568945
100,2015-04-10 23:00:00,17.729918,0.0,19.93048,5.030555
101,2015-04-11 23:00:00,16.657,0.0,21.261345,4.5045247
102,2015-04-12 23:00:00,17.811167,0.0,23.847115,5.0571465
103,2015-04-13 23:00:00,18.8445,0.0,22.077717,5.294858
104,2015-04-14 23:00:00,21.346582,0.0,26.434887,5.876836
105,2015-04-15 23:00:00,18.913252,0.0,24.40046,4.3888397
106,2015-04-16 23:00:00,16.846582,0.0,10.594036,4.2814503
107,2015-04-17 23:00:00,16.821585,0.0,12.904882,3.9039745
108,2015-04-18 23:00:00,16.632002,0.0,17.771753,4.1056023
109,2015-04-19 23:00:00,16.192417,0.0,20.808498,4.22374
110,2015-04-20 23:00:00,16.834085,0.4,28.712116,4.1448493
111,2015-04-21 23:00:00,19.888254,0.0,13.854155,4.2400613
112,2015-04-22 23:00:00,18.26325,0.0,13.276144,4.200413
113,2015-04-23 23:00:00,17.109085,0.0,15.03835,3.7218924
114,2015-04-24 23:00:00,17.807001,0.0,13.339445,4.032711
115,2015-04-25 23:00:00,19.0445,0.0,15.349684,4.4756846
116,2015-04-26 23:00:00,17.802832,3.2,37.169018,4.504154
117,2015-04-27 23:00:00,17.477835,0.0,20.808498,5.0197363
118,2015-04-28 23:00:00,16.867418,0.0,11.113451,4.6536107
119,2015-04-29 23:00:00,17.123667,0.0,14.84318,4.483125
120,2015-04-30 23:00:00,18.73825,0.0,12.229406,4.994458
121,2015-05-01 23:00:00,21.734085,0.0,14.799459,5.6969175
122,2015-05-02 23:00:00,23.846586,0.0,12.605142,5.936309
123,2015-05-03 23:00:00,25.867422,0.0,13.849477,6.3276105
124,2015-05-04 23:00:00,22.00075,0.0,18.35647,5.531593
125,2015-05-05 23:00:00,20.131998,0.0,15.617529,4.502249
126,2015-05-06 23:00:00,19.996584,0.0,22.66857,5.220527
127,2015-05-07 23:00:00,19.840338,0.0,21.599998,4.908628
128,2015-05-08 23:00:00,19.819502,0.0,14.8257065,5.4047666
129,2015-05-09 23:00:00,20.738249,0.0,26.459387,6.3888216
130,2015-05-10 23:00:00,22.861168,0.0,20.46941,6.892418
131,2015-05-11 23:00:00,21.059084,0.0,10.948973,5.191592
132,2015-05-12 23:00:00,21.352835,0.0,9.3876505,5.5583982
133,2015-05-13 23:00:00,25.552834,0.0,10.829958,6.4560976
134,2015-05-14 23:00:00,20.446585,0.0,20.61766,4.698958
135,2015-05-15 23:00:00,17.877832,1.4000001,20.466246,4.387659
136,2015-05-16 23:00:00,17.990335,0.0,14.799459,4.628138
137,2015-05-17 23:00:00,19.75075,0.0,23.688984,5.6752834
138,2015-05-18 23:00:00,21.72367,0.0,17.10284,4.769418
139,2015-05-19 23:00:00,18.0945,5.500001,25.922499,2.4954631
140,2015-05-20 23:00:00,17.219498,0.0,24.693481,4.5937953
141,2015-05-21 23:00:00,16.37575,0.0,24.567198,5.406331
142,2015-05-22 23:00:00,17.467417,0.0,23.441502,5.803246
143,2015-05-23 23:00:00,17.06533,0.90000004,28.512817,3.8707097
144,2015-05-24 23:00:00,16.62367,3.7,20.08916,2.3009756
145,2015-05-25 23:00:00,18.684084,0.1,12.261158,4.545261
146,2015-05-26 23:00:00,18.990332,0.0,21.370783,5.556344
147,2015-05-27 23:00:00,19.594501,0.0,25.488914,6.1557183
148,2015-05-28 23:00:00,20.407,1.3,22.608458,4.3258142
149,2015-05-29 23:00:00,20.148668,0.4,16.981165,4.4916115
150,2015-05-30 23:00:00,20.621586,0.0,17.174677,5.4416776
151,2015-05-31 23:00:00,20.47367,0.0,13.493999,5.010708
152,2015-06-01 23:00:00,21.469503,0.0,20.466246,5.858309
153,2015-06-02 23:00:00,22.982002,0.0,23.1774,5.8641
154,2015-06-03 23:00:00,22.790335,0.0,13.679999,5.3306217
155,2015-06-04 23:00:00,22.629915,0.0,16.595179,5.801127
156,2015-06-05 23:00:00,23.109085,0.0,23.419376,6.559203
157,2015-06-06 23:00:00,21.959084,0.0,14.707222,5.3926015
158,2015-06-07 23:00:00,22.338251,0.0,14.986553,5.304815
159,2015-06-08 23:00:00,22.604918,0.0,15.158522,5.2972407
160,2015-06-09 23:00:00,24.223665,0.0,14.764389,5.5568204
161,2015-06-10 23:00:00,22.22992,0.0,21.749481,4.3886333
162,2015-06-11 23:00:00,22.346582,0.0,16.548256,4.618549
163,2015-06-12 23:00:00,22.232,0.0,19.826164,5.915635
164,2015-06-13 23:00:00,21.775751,2.2,22.59699,5.689334
165,2015-06-14 23:00:00,20.911165,2.8,14.973577,5.0942926
166,2015-06-15 23:00:00,20.48825,0.2,22.104116,5.0397706
167,2015-06-16 23:00:00,20.95075,0.0,20.696087,5.5798173
168,2015-06-17 23:00:00,22.16742,0.0,26.072052,6.3767242
169,2015-06-18 23:00:00,22.696585,0.0,20.88,6.384066
170,2015-06-19 23:00:00,22.861166,0.0,21.437386,6.437744
171,2015-06-20 23:00:00,24.690336,0.0,24.962307,7.7710767
172,2015-06-21 23:00:00,26.657003,0.0,18.089775,7.137838
173,2015-06-22 23:00:00,25.16117,0.0,16.09969,6.093365
174,2015-06-23 23:00:00,23.398666,0.0,17.727943,5.7817373
175,2015-06-24 23:00:00,22.971582,0.0,16.746773,5.801558
