date,precipitation_sum (mm),temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,water_availability
2015-04-01,0.0,11.984258889639277,0.0070204265702325,79.65369107902691,-1.0086216181830845,-1.2477560168527748,11.792043187284984,0.0,0.0234969740345453,290.3590244293213,0.00029462659986165816,1.0455366866261398e-09,1.3275326803826224e-05,0.0,2.6313220011312903e-05,697.3135737101237,-74.65865364074708,1.0948678718258935,76.82168661753337,64.9015598932902,0.0,0.0,0.0,290.3590244293213,935.768881479899,238.45528208414717,4.762528459231058,0.0,217.47581799825036,1.3036849509262538e-05,935.7691551208496,-200.34194686496335
2015-04-02,0.0,12.42616172503402,0.0066390105610793,73.36908725846199,-0.8828937983693637,-0.6748521375364714,10.580860415774008,0.0,0.0322843896302705,288.9671082814534,0.0038691727657957,2.495081589633704e-07,1.2360757337622392e-05,0.0,2.216388650140289e-05,696.6564473470053,-72.01444320678712,-5.066211199760437,93.00351250966388,54.66722501118978,0.0,2.09993766704201e-10,0.0,288.9671082814534,933.417837524414,236.76138445536293,4.734760189056396,0.0,214.61239999135336,9.553621847165535e-06,933.4217145284016,-173.229781389124
2015-04-03,0.0,13.183236671775925,0.0071031900237612,73.6489259804449,-0.5548212246885474,-0.975508717108538,13.22444913650072,0.0,0.0211081786779686,289.6217609405517,0.0008820188309376437,1.892228851385624e-09,1.1659799577046215e-05,0.0,2.25660758057226e-05,695.9003405253093,-71.40462582906088,4.399808973073959,84.064386399587,55.65922525723775,0.0,0.0,0.0,289.6217609405517,931.2125139872232,235.31202131907148,4.710263554255167,0.0,215.5337329228719,1.0904380955404728e-05,931.2132840474446,-175.8564878593395
2015-04-04,0.0,12.117507216750958,0.0066284709572804,74.24941688840107,-0.762048373192734,-1.3152876037932804,11.899657484664717,0.0,0.0225257634806136,289.7793120066325,0.0053180997550953,4.072546056240374e-07,1.0930586453620589e-05,0.0,2.0803452465164206e-05,695.0605372111003,-65.24893137613932,0.3651414358988404,85.5358572324117,51.31171882947286,0.0,1.7975867383501766e-08,0.0,289.7793120066325,929.0870803833008,234.0265422185262,4.696758786837259,0.0,202.458474222819,9.465610859630638e-06,929.0923683166504,-164.45620758190637
2015-04-05,0.0,11.775279760873469,0.0066038513011286,75.41455765231963,-1.9700644580305613,-1.730378318888821,13.397950518996486,0.0152923388792181,0.0278186484317605,289.75936813354497,0.0047181438305415,1.3341035802009554e-07,1.3262943692401073e-05,0.0,2.415694644544904e-05,694.151077524821,-77.62018426259358,2.372417629261812,83.20999495188394,59.5831128915151,0.0,1.837402138713436e-11,0.0,289.75936813354497,926.925510406494,232.77442391713456,4.638155273596445,0.0,222.7888460159302,1.0760593443137622e-05,926.9302202860516,-186.25204393922172
2015-04-06,0.4,11.154271474448606,0.0067144662133976,79.4709022691173,-2.197199546364737,-1.5737869245668634,18.377688545437277,0.264940188654388,0.0542497420993943,288.31964111328125,0.0091327627752131,1.6283808562889132e-06,1.2918159260758938e-05,0.0,2.000248404480468e-05,693.1540758768717,-52.57657918930053,-4.594132294257482,87.84781824747722,49.336124626795446,0.0,2.3336529790067098e-07,0.0,288.31964111328125,925.0437624613444,231.88963483174643,4.69006168047587,0.0,185.1673827489217,5.455943346532876e-06,925.052879079183,-130.3777814921528
2015-04-07,0.3,12.451531322028073,0.0058668560601153,65.16355619430543,-2.388246583237603,0.2082782210391615,14.765497542709436,0.0037432796083971,0.0584800118890901,287.89334335327146,0.010908684922227,1.8751609256166077e-06,1.388001772208251e-05,0.0,2.019332121108164e-05,692.1097895304363,-49.25583295822143,-4.791833613316218,68.64655539194743,49.80682989756266,0.0,2.3789835600733038e-07,0.0,287.89334335327146,923.7557423909506,231.64588820139568,4.704714397589366,0.0,162.91353174845378,4.438143586564062e-06,923.7665921529136,-139.2174149382123
2015-04-08,0.0,14.55560345188266,0.0048607881758793,46.32199670691645,-1.7890577536476877,2.030088666496268,10.790087541841691,0.0,0.0473290735234816,288.4921120961507,0.0008486018057737965,1.3557295127271844e-08,1.6594715960612422e-05,0.0,2.5723637888101316e-05,691.0822814941406,-84.98205903371175,1.3289256652196246,81.33252143859865,63.44735334714254,0.0,0.0,0.0,288.4921120961507,921.6789276123046,230.5965901056925,4.53615669409434,0.0,231.0919156392415,9.115365439053372e-06,921.6797177632648,-196.48936257242167
2015-04-09,0.0,16.303762048290647,0.0045617841671706,38.06514855533519,-1.3724354502900196,3.390182035646192,12.042574157573844,0.0,0.0278714140566686,290.7325284322103,0.0003366515473317122,1.861512896143373e-09,1.8456712079265948e-05,0.0,3.1761136710883875e-05,690.025658416748,-85.61872755686441,9.235432000954944,60.22625056902568,78.33884881337484,0.0,0.0,0.0,290.7325284322103,918.9545399983724,228.9288941701253,4.47999155720075,0.0,233.42292149861652,1.330256499159077e-05,918.9549143473308,-235.94098807997432
2015-04-20,0.0,16.081361942906558,0.0074111019764395,64.73724570325626,-1.9709307388122128,-0.6960335840801559,17.57487260577499,0.1402977176482528,0.0341092051782955,291.36576983133955,0.0067825147688078,1.018075027540514e-06,1.2974103894218085e-05,0.0,1.914720985496388e-05,673.8852427164713,-72.32236833572388,-2.5067067871491115,107.0992525100708,47.22659711837768,0.0,1.525470473495716e-07,0.0,291.36576983133955,891.4794082641602,217.59402656555176,4.374913342793783,0.0,224.13986333211267,5.155029096689152e-06,891.486050415039,-154.5129490946979
